Island ,Latitude ,Longitude 
Baker Island ,0.193,-176.476
Howland Island,0.811,-176.618
Jarvis Island ,-0.374,-160.021
Johnston Atoll ,16.749,-169.533
Kingman Reef ,6.383,-162.417
Palmyra Atoll ,5.883,-162.083
Wake Island ,19.283,166.65
