year,lat,lon,flag,total_effort,total_catch
1981,-0.5,141.5,JP,8,199.002
1981,-0.5,142.5,JP,27,985
1981,-0.5,143.5,JP,26,596.001
1981,-0.5,144.5,JP,10,153.001
1981,-0.5,145.5,JP,5,102
1981,3.5,142.5,JP,26.78,528.9
1981,0.5,141.5,JP,18.2,294.7
1981,0.5,142.5,JP,10.69,214
1981,0.5,143.5,JP,31.8,860
1981,0.5,144.5,JP,9.89,200.00100000000003
1981,0.5,145.5,JP,5.28,97
1981,0.5,146.5,JP,5.13,183
1981,0.5,147.5,JP,12.34,161
1981,0.5,148.5,JP,4.42,92.00099999999999
1981,0.5,149.5,JP,1.76,26.999
1981,0.5,150.5,JP,1.47,63.5
1981,1.5,141.5,JP,12.54,283.99899999999997
1981,1.5,142.5,JP,10.98,237.002
1981,1.5,143.5,JP,12.6,323.996
1981,1.5,144.5,JP,13.46,404.999
1981,1.5,145.5,JP,18.31,403.99899999999997
1981,1.5,146.5,JP,3.42,85.30099999999999
1981,1.5,147.5,JP,7.02,120.001
1981,1.5,148.5,JP,8.63,186.002
1981,1.5,149.5,JP,3.37,29.999000000000002
1981,-0.5,142.5,JP,4,110
1981,-0.5,143.5,JP,1,10
1981,-0.5,146.5,JP,4.43,116.001
1981,-0.5,147.5,JP,6.32,158.002
1981,-0.5,148.5,JP,4.55,78
1981,-0.5,150.5,JP,2.47,22.000999999999998
1981,-0.5,151.5,JP,2.48,63
1981,-0.5,152.5,JP,3.3,90.999
1981,-0.5,153.5,JP,2.48,113
1981,-0.5,154.5,JP,3.3,56.099
1981,2.5,143.5,JP,24.45,302.00100000000003
1981,2.5,144.5,JP,12.6,320.999
1981,2.5,145.5,JP,8.31,328.00100000000003
1981,4.5,143.5,JP,20.3,258.996
1981,4.5,153.5,JP,13.33,379
1982,0.5,140.5,JP,3.6,67.99900000000001
1982,0.5,141.5,JP,45.13,1083.2
1982,0.5,142.5,JP,25.84,699
1982,0.5,143.5,JP,33.81,670.8979999999999
1982,0.5,144.5,JP,26.61,588.0010000000001
1982,0.5,145.5,JP,8.26,250
1982,0.5,146.5,JP,7.67,214.001
1982,0.5,147.5,JP,7.41,359.001
1982,0.5,148.5,JP,4.79,172
1982,1.5,141.5,JP,19.78,813.4
1982,1.5,142.5,JP,3.47,85
1982,1.5,144.5,JP,4.24,99.49900000000001
1982,1.5,145.5,JP,12.58,331
1982,-0.5,141.5,JP,24.13,555.4979999999999
1982,-0.5,142.5,JP,89.19,1964.899
1982,-0.5,143.5,JP,58.85,773.1
1982,-0.5,144.5,JP,80.78,1659.199
1982,-0.5,145.5,JP,21.47,567.999
1982,-0.5,146.5,JP,11.7,414.00200000000007
1982,-0.5,147.5,JP,12.39,387.00000000000006
1982,-0.5,148.5,JP,10.87,301
1982,-0.5,149.5,JP,11.22,307.001
1982,-0.5,150.5,JP,8.28,163.999
1982,2.5,145.5,JP,7.46,149
1982,-1.5,141.5,JP,4.19,66
1982,-1.5,142.5,JP,9.35,426.998
1982,-1.5,143.5,JP,1.81,93
1982,-1.5,146.5,JP,7.78,215.00000000000003
1982,-1.5,147.5,JP,4.58,185
1982,-1.5,155.5,JP,7,158
1982,-1.5,156.5,JP,20.36,233.399
1982,-1.5,158.5,JP,6.78,80.00000000000001
1982,0.5,144.5,JP,6.62,225.00099999999998
1982,0.5,145.5,JP,5.56,76
1982,0.5,146.5,JP,15.64,168
1982,0.5,147.5,JP,6.29,48.501
1982,0.5,149.5,JP,4.73,139
1982,0.5,150.5,JP,5.33,141
1982,0.5,151.5,JP,2.68,90
1982,0.5,153.5,JP,3.56,19
1982,0.5,154.5,JP,2.68,52
1982,0.5,155.5,JP,4.94,212.998
1982,1.5,144.5,JP,7.58,101.99999999999999
1982,1.5,146.5,JP,11.85,217.999
